DesignStart,count,total_funding,group
2006,1,1238000.0,bottom 5
2008,4,2929000.0,bottom 5
2009,8,8105000.0,bottom 5
2010,20,16723000.0,bottom 5
2011,38,27727000.0,bottom 5
2012,61,37673000.0,bottom 5
2013,89,48258000.0,bottom 5
2014,123,62728000.0,bottom 5
2015,166,113761000.0,bottom 5
2016,214,125238000.0,bottom 5
2017,266,145133000.0,bottom 5
2018,321,152339000.0,bottom 5
2019,384,178894000.0,bottom 5
2021,453,199286000.0,bottom 5
2022,527,211182000.0,bottom 5
2023,605,226703000.0,bottom 5
2024,690,249703000.0,bottom 5
2025,777,260703000.0,bottom 5
