DesignStart,count,total_funding,group
2006,4,5587000.0,top 5
2007,6,64627000.0,top 5
2008,11,87724000.0,top 5
2009,14,92369000.0,top 5
2010,17,96514000.0,top 5
2011,23,109286000.0,top 5
2012,31,124739000.0,top 5
2013,41,172278000.0,top 5
2014,50,194545000.0,top 5
2015,56,254810000.0,top 5
2016,70,306538000.0,top 5
2017,84,412623000.0,top 5
2018,95,452009000.0,top 5
2019,105,507525000.0,top 5
2020,107,509097000.0,top 5
2021,116,542348000.0,top 5
2022,122,552766000.0,top 5
2023,133,601374000.0,top 5
2024,140,623190000.0,top 5
2025,142,640690000.0,top 5
