TrackerID,FMSID,Title,Summary,CurrentPhase,DesignPercentComplete,ProcurementPercentComplete,ConstructionPercentComplete,DesignStart,DesignProjectedCompletion,DesignAdjustedCompletion,DesignActualCompletion,ProcurementStart,ProcurementProjectedCompletion,ProcurementAdjustedCompletion,ProcurementActualCompletion,ConstructionStart,ConstructionProjectedCompletion,ConstructionAdjustedCompletion,ConstructionActualCompletion,TotalFunding,ProjectLiaison,LastUpdated,FundingSource,name,ParkID,Latitude,Longitude,Borough
10438,846 P-405VITO,Uncle Vito F. Maranzano Glendale Playground Reconstruction,This project will reconstruct Uncle Vito F. Maranzano Glendale Playground.,procurement,100,60,0,05/01/2023 12:00:00 AM,10/01/2024 12:00:00 AM,,02/01/2025 12:00:00 AM,04/01/2025 12:00:00 AM,04/01/2026 12:00:00 AM,,,,,,,Between $5 million and $10 million,Meira Berkower,09/22/2025 12:00:00 AM,City Council,Central Avenue between 70th and 71st Street,Q290,40.704964,-73.881725,Queens
9578,846 P-3PHILSQ,A. Philip Randolph Square Reconstruction,This project will reconstruct A. Philip Randolph Square and adjacent sidewalks and intersections.,design,30,0,0,10/01/2024 12:00:00 AM,04/01/2026 12:00:00 AM,,,,,,,,,,,Greater than $10 million,Steve Simon,09/22/2025 12:00:00 AM,Borough PresidentCity CouncilMayoral,"Adam Clayton Powell Jr. Boulevard, St. Nicholas Avenue, West 117th Street",M021,40.803901,-73.952413,Manhattan
1004111,846 P-4PL15A1,Arrow Recreation Center Playground Reconstruction,This project will reconstruct the playground at Arrow Recreation Center.,completed,100,100,100,03/01/2015 12:00:00 AM,08/01/2015 12:00:00 AM,,09/01/2015 12:00:00 AM,04/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,,09/01/2016 12:00:00 AM,03/01/2017 12:00:00 AM,08/01/2017 12:00:00 AM,04/01/2018 12:00:00 AM,03/01/2018 12:00:00 AM,"$150,000",Meira Berkower,09/22/2025 12:00:00 AM,Mayoral,,Q470,40.755839,-73.926293,Queens
10687,846 P-303ABCP,ABC Playground Reconstruction,This project will reconstruct ABC Playground.,design,5,0,0,02/01/2026 12:00:00 AM,07/01/2026 12:00:00 AM,,,,,,,,,,,Between $5 million and $10 million,Steve Simon,09/22/2025 12:00:00 AM,City CouncilMayoral,"Essex, Norfolk & Houston Streets",M116,40.721812,-73.985961,Manhattan
7121,,Abe Stark Ice Rink Electrical System Reconstruction (Hurricane Sandy),This project will reconstruct and elevate the electrical equipment damaged by Hurricane Sandy at Abe Stark Ice Rink.,proposed,0,0,0,,,,,,,,,,,,,Between $1 million and $3 million,James Morris,09/22/2025 12:00:00 AM,FederalMayoral,Coney Island Boardwalk and West 19th Street.,B336,40.57374694,-73.98560278,Brooklyn
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,570,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,E 156 St bet Tinton Av & Union Av,X216,40.817299,-73.904724,"Bronx, Queens"
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,570,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,Rockaway Boardwalk bet B 60 St & B 59 St,Q162E,40.58915,-73.789019,"Bronx, Queens"
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,570,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,"Grand Central Parkway., Whitestone Expressway between 111 Street and College Point Boulevard, Park Drive E",Q099,40.753564,-73.838031,"Bronx, Queens"
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,570,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,Health Place & Highland Boulevard,Q020,40.683167,-73.892921,"Bronx, Queens"
6259,846 P-6ROOF14,Bronx and Queens Roofing Systems Reconstruction (CNYG-1114M),This multisite contract will reconstruct roofing systems at various parks and recreation facilities in the Bronx and Queens.,completed,100,100,100,12/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,02/01/2014 12:00:00 AM,02/01/2014 12:00:00 AM,11/01/2014 12:00:00 AM,05/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,04/01/2016 12:00:00 AM,04/01/2019 12:00:00 AM,,04/01/2019 12:00:00 AM,"$1,570,000",Cristin Leoutsakos,09/22/2025 12:00:00 AM,Mayoral,Ballfields at 150th Street / Booth Memorial Avenue / Kissena Boulevard / 56th Avenue / 151st Street,Q300,40.743444,-73.814629,"Bronx, Queens"
