BOROUGH,DISTRICTCODE,BOROUGH_ID,BOROUGH_ID,CD Name
Bronx,201,2,1,"Melrose, Mott Haven, Port Morris"
Bronx,202,2,2,"Hunts Point, Longwood"
Bronx,203,2,3,"Morrisania, Crotona Park East"
Bronx,204,2,4,"Highbridge, Concourse Village"
Bronx,205,2,5,"University Hts., Fordham, Mt. Hope"
Bronx,206,2,6,"East Tremont, Belmont"
Bronx,207,2,7,"Bedford Park, Norwood, Fordham"
Bronx,208,2,8,"Riverdale, Kingsbridge, Marble Hill"
Bronx,209,2,9,"Soundview, Parkchester"
Bronx,210,2,10,"Throgs Nk., Co-op City, Pelham Bay"
Bronx,211,2,11,"Pelham Pkwy, Morris Park, Laconia"
Bronx,212,2,12,"Wakefield, Williamsbridge"
Brooklyn,301,3,1,"Williamsburg, Greenpoint"
Brooklyn,302,3,2,"Brooklyn Heights, Fort Greene"
Brooklyn,303,3,3,Bedford Stuyvesant
Brooklyn,304,3,4,Bushwick
Brooklyn,305,3,5,"East New York, Starrett City"
Brooklyn,306,3,6,"Park Slope, Carroll Gardens"
Brooklyn,307,3,7,"Sunset Park, Windsor Terrace"
Brooklyn,308,3,8,Crown Heights North
Brooklyn,309,3,9,"Crown Heights South, Wingate"
Brooklyn,310,3,10,"Bay Ridge, Dyker Heights"
Brooklyn,311,3,11,"Bensonhurst, Bath Beach"
Brooklyn,312,3,12,"Borough Park, Ocean Parkway"
Brooklyn,313,3,13,"Coney Island, Brighton Beach"
Brooklyn,314,3,14,"Flatbush, Midwood"
Brooklyn,315,3,15,"Sheepshead Bay, Gerritsen Beach"
Brooklyn,316,3,16,"Brownsville, Ocean Hill"
Brooklyn,317,3,17,"East Flatbush, Rugby, Farragut"
Brooklyn,318,3,18,"Canarsie, Flatlands"
Manhattan,101,1,1,"Battery Park City, Tribeca"
Manhattan,102,1,2,"Greenwich Village, Soho"
Manhattan,103,1,3,"Lower East Side, Chinatown"
Manhattan,104,1,4,"Chelsea, Clinton"
Manhattan,105,1,5,Midtown Business District
Manhattan,106,1,6,"Stuyvesant Town, Turtle Bay"
Manhattan,107,1,7,"West Side, Upper West Side"
Manhattan,108,1,8,Upper East Side
Manhattan,109,1,9,"Manhattanville, Hamilton Heights"
Manhattan,110,1,10,Central Harlem
Manhattan,111,1,11,East Harlem
Manhattan,112,1,12,"Washington Heights, Inwood"
Queens,401,4,1,"Astoria, Long Island City"
Queens,402,4,2,"Sunnyside, Woodside"
Queens,403,4,3,"Jackson Heights, North Corona"
Queens,404,4,4,"Elmhurst, South Corona"
Queens,405,4,5,"Ridgewood, Glendale, Maspeth"
Queens,406,4,6,"Forest Hills, Rego Park"
Queens,407,4,7,"Flushing, Bay Terrace"
Queens,408,4,8,"Fresh Meadows, Briarwood"
Queens,409,4,9,"Woodhaven, Richmond Hill"
Queens,410,4,10,"Ozone Park, Howard Beach"
Queens,411,4,11,"Bayside, Douglaston, Little Neck"
Queens,412,4,12,"Jamaica, St. Albans, Hollis"
Queens,413,4,13,"Queens Village, Rosedale"
Queens,414,4,14,"The Rockaways, Broad Channel"
Staten Island,501,5,1,"Stapleton, Port Richmond"
Staten Island,502,5,2,"New Springville, South Beach"
Staten Island,503,5,3,"Tottenville, Woodrow, Great Kills"
